,Cycle,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,G1,H1
,1,2692.70259683558,2530.01641025513,2637.20363314035,2461.6378731625,2560.8291512644,2509.50673783934,2498.46600512471,2493.10087602676,2490.18308402511,2489.0198638301,2537.98779949095,2483.25419820723,2481.41318374171
,2,2689.66611130718,2529.93728034268,2633.48346960019,2464.27247135624,2564.01866825613,2505.2029022361,2493.73222840304,2494.36664224293,2489.02539510404,2485.70483067492,2535.61408052169,2485.72012569624,2476.37862375708
,3,2689.6704829824,2528.82264006084,2636.26978179747,2461.71062795882,2563.2645676498,2508.39926163214,2493.9206643857,2490.0358538739,2489.47674533497,2486.86727409446,2536.55293970686,2482.92058082147,2480.09527046504
,4,2695.46974138571,2531.85288563633,2640.55726510495,2463.14632885756,2566.36453962067,2512.02846962736,2501.16840972699,2494.58495337429,2496.20831559172,2487.88889646173,2537.44849784798,2488.19474506045,2483.70848945556
,5,2700.44387682473,2534.18288163665,2642.02151964658,2467.63097846848,2567.99660796605,2509.26313228275,2501.21620941794,2494.85391393289,2498.47320197616,2491.27058810945,2540.62568531055,2491.92405253509,2482.33468871847
,6,2702.54332254063,2533.94778478184,2643.35165050374,2469.89797333118,2570.66840263636,2511.33898579639,2506.13238467066,2496.61631611647,2499.62147540847,2492.48880836664,2542.40224864314,2493.59984217911,2485.76017567221
,7,2706.65245201756,2539.63513959118,2651.64638812904,2470.42339505026,2574.49708046227,2515.05273057733,2509.45806604536,2500.92547904574,2500.90614221014,2497.78678482328,2544.08911972462,2493.35191482467,2487.0912329272
,8,2712.78959513386,2540.65798553279,2656.16710194562,2472.85007803402,2577.93662130822,2516.56033426009,2510.55294111341,2503.50076157939,2503.60342110938,2498.81852307298,2549.64736727281,2500.71599630477,2491.50031378281
,9,2717.70190466822,2543.94016346195,2660.63423037071,2476.86251196742,2581.87533699299,2522.83729518402,2514.29714087246,2505.22426649598,2505.81873854253,2502.05141522713,2552.52437832342,2499.8298930883,2493.84689348234
,10,2721.7737873718,2545.13469058482,2664.73319656577,2479.27024560106,2582.92898929276,2525.56479146585,2515.51916490603,2508.89795232056,2512.55278014915,2502.2658533062,2553.83686349892,2500.9068656329,2491.11361493055
