,Cycle,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,G1,H1
,1,5486.89730921109,6426.27848315166,6457.03345486664,5758.48184067861,6770.36497625767,6792.10872597011,6684.57033165541,6372.43529182769,6609.3179035989,6865.38036721263,7030.18782631746,6426.01722621598,6711.44970901799
,2,5474.70734530184,6388.45888352212,6434.81061764908,5729.88345915713,6745.94403515251,6729.17031305532,6665.5350249517,6332.37704468595,6564.59142325063,6797.5153691929,6986.59824999035,6394.0022709573,6664.55587983928
,3,5448.26458809587,6362.72620165625,6410.93174733029,5712.02656690499,6718.52357685855,6698.84362120568,6629.70744346174,6305.79949854756,6546.88103824282,6776.07391039656,6946.97659325371,6386.98013942202,6631.09245270659
,4,5438.5127371838,6353.84944444103,6397.71005172218,5712.84916708143,6715.02267745353,6681.74628375537,6624.84109489692,6291.97419304016,6520.09512484197,6748.81916286806,6927.75536690877,6382.90592138216,6608.66173678263
,5,5430.26167340742,6343.05553095278,6397.04473328399,5701.07654939887,6693.6645680446,6669.78569236467,6611.4740222457,6292.73586008412,6512.38521117984,6749.2673179255,6922.99370766879,6368.61192904048,6595.61746754084
,6,5418.53077072363,6326.87615278101,6399.50314482693,5695.47163429558,6691.78926630812,6651.16890780215,6597.1601777039,6276.19069518557,6508.29177578909,6736.09966014467,6915.47149274345,6364.62251182284,6587.31436622265
,7,5422.62566967886,6334.0135369782,6382.7191765283,5692.39838755373,6677.01685719333,6639.19773109144,6593.43057287247,6274.53466341788,6495.17441692648,6733.4420036273,6899.59391870452,6366.24777890504,6574.25023664409
,8,5412.75883432999,6327.6375063105,6390.40743144286,5694.34645377052,6693.56054424944,6638.61462753385,6594.4614995323,6266.92943150144,6481.29717232421,6714.91800421078,6903.29227052814,6358.22548109652,6559.85191231154
,9,5409.44677631882,6319.88625202243,6384.00062913538,5694.56572935173,6675.63039590377,6630.05025156819,6585.46980829541,6267.75280425319,6481.56820903732,6722.5344756031,6893.8639905027,6346.98342596984,6558.60170558359
,10,5404.28942429968,6309.48825910106,6372.51944756133,5685.88728498841,6664.13943476717,6627.25846046892,6585.59450473387,6255.9585934161,6477.94230182397,6713.20938651553,6883.92502410947,6349.55628221392,6542.96262146488
,11,5402.35111902587,6309.66503814339,6375.2176449194,5686.0333035824,6660.87768245105,6605.78622915034,6575.80238746744,6251.56139353688,6467.05577280513,6701.53073985085,6865.44204858847,6351.00475850239,6537.48273131531
,12,5397.53859558522,6308.78044732269,6375.38400283167,5686.01258381036,6655.58662803357,6599.12923281763,6566.58198140591,6238.88289645851,6465.28480982629,6694.07185613526,6862.87996368466,6355.58979834079,6531.13827014491
,13,5403.63208999255,6303.92388622487,6365.48608696073,5689.03378955076,6657.08653178474,6593.40922354053,6573.16573453493,6240.29980397554,6459.2512816481,6697.53985442374,6861.38914697055,6360.93312830747,6516.42756304758
,14,5396.04812063524,6296.047913647,6369.19598678142,5679.36551003994,6648.72027507439,6595.75368141406,6556.51736297042,6233.5490244304,6460.09549460555,6694.53970479055,6860.49481091664,6346.92140156378,6512.52148796741
,15,5396.12137479036,6295.97514958909,6369.20575394122,5676.02073680218,6640.51093589648,6581.58439495257,6555.07035439935,6221.78588633825,6455.86628809567,6689.44610586695,6845.63693744222,6346.0672571845,6511.02124688795
,16,5388.45340712964,6296.9556040153,6375.3012956266,5679.21928768367,6655.82576218361,6579.3441255797,6559.32136846337,6217.8378067999,6444.55276368269,6687.94619733254,6848.14891814397,6361.89337964528,6509.31328632339
,17,5394.87090291016,6293.81824337958,6369.28992653667,5672.91594396573,6629.25879172441,6575.71787926636,6544.03601496305,6213.25343639938,6446.93728161821,6687.02838909938,6830.82267313459,6361.03860674569,6497.12267821504
,18,5386.62934041879,6284.41095434147,6365.35129770418,5680.95924097086,6632.8633783096,6556.61078988404,6537.84800356447,6220.50460838142,6436.82040976043,6679.84021629615,6833.66688797497,6371.82111615965,6494.10070411824
,19,5394.26707231268,6287.96409035677,6364.64349090128,5676.61506449687,6635.46812796837,6552.73548261434,6537.84832404908,6213.32699989082,6442.97895063068,6695.55110024989,6831.05205370193,6387.28193993788,6501.3522005441
,20,5383.45206141767,6282.63967618755,6355.37067295764,5674.86449914539,6637.13506165976,6557.72619999516,6531.34694726492,6206.51357512757,6427.18408325621,6708.25057905588,6818.25716616932,6414.25523300147,6487.45362889433
,21,5381.68175704621,6287.67124641276,6359.82891912501,5667.14401680991,6626.10104680515,6540.93149342912,6536.81708016083,6206.90817100393,6427.1113151223,6730.27513854999,6823.81030687443,6454.00043578741,6480.55798481297
,22,5389.44353348232,6285.66147206566,6353.41267204609,5668.89457609903,6614.22445265859,6547.10956972348,6539.86965134489,6196.85509584233,6427.30941777476,6772.74035388704,6824.35273090752,6530.70117171063,6480.20277710306
,23,5384.27521644711,6279.43145530656,6359.69444684255,5670.24879928282,6630.98839931393,6548.23475270702,6529.80502922976,6193.27150528045,6419.26612168434,6887.832233387,6815.55931036501,6693.24849046984,6480.50507396217
,24,5388.00482297195,6264.88710868331,6365.32035932961,5667.14429737198,6629.2903708176,6535.28490442458,6523.0651731774,6188.06265458324,6421.74553148796,7085.37398788685,6807.98630610924,6983.2842375345,6469.96234640199
,25,5374.55587317977,6273.6902934157,6350.76624007891,5678.86543124937,6616.39228632088,6524.99221757222,6528.346791598,6188.09390956221,6426.26725924844,7459.78862890108,6812.74684511067,7428.42957703498,6461.50199501766
,26,5381.31722016126,6273.1076754544,6367.6019785898,5671.20793787154,6618.14257102079,6522.5440677117,6516.44886285338,6184.09326253594,6419.72518533774,8030.82886513277,6803.90117377374,8081.21205882825,6463.38853293275
,27,5379.28537362301,6262.81322158345,6372.88327790746,5663.1755952899,6620.194332816,6513.67707896161,6510.06274059976,6180.29985779045,6413.85916897514,8759.75947700304,6804.51616765252,8763.88518357631,6466.2944415151
,28,5375.80580639891,6264.11567904785,6365.39329900933,5673.82185446175,6623.5278780587,6516.19848187394,6511.96881195663,6177.88393614833,6415.41117761593,9506.74468466849,6794.81684778081,9383.52749745836,6458.6061840494
,29,5388.16208119022,6270.64926923072,6366.65358076309,5667.70737172377,6620.13263815871,6512.62546983555,6509.8325602442,6185.27997291756,6427.25765438657,10112.3950070056,6800.05680387495,9905.20522669532,6456.36639582089
,30,5373.627230975,6275.27471495178,6376.50886676753,5674.6662262429,6627.03967634217,6512.33261914081,6512.19785208465,6176.58050714613,6426.1531551574,10518.1604074245,6806.43249392846,10268.5203876522,6450.28208606154
,31,5383.70237134474,6266.37758502617,6376.8632392359,5678.60513286776,6630.27930027194,6508.74984102409,6515.07364324537,6174.22642816318,6418.58876961885,10790.3446524391,6798.11946966203,10538.4845497181,6455.79306149362
,32,5375.90982418029,6268.66817086628,6373.01953257519,5683.27162261356,6639.23940734631,6499.34174464238,6529.55466885245,6167.47502667497,6429.4036799121,10925.035845801,6796.73414883129,10727.5546706154,6453.84418113289
,33,5377.47208845036,6275.53452014005,6387.29284064959,5685.05413827611,6639.67648797797,6504.58136605279,6535.99369894954,6164.20349888702,6428.12124266018,10998.4784047766,6800.8695833296,10840.5329275238,6446.74928639019
,34,5379.91074243166,6265.21040386851,6384.16764874008,5683.02186858124,6638.10332244562,6500.50827050251,6528.3878089828,6160.46443362915,6421.38169930204,11023.9625623874,6801.22398153922,10932.6382260035,6446.45854161161
,35,5372.69082325005,6266.93919929423,6377.88440358547,5688.69954594066,6633.67584435137,6503.59275769681,6539.15078261335,6165.30896416955,6417.41181832301,11037.0349911613,6806.79812762126,11014.2910964858,6450.28240319339
,36,5390.26642429299,6259.59425941389,6389.95911533844,5686.81447272121,6636.15525295802,6503.14493476722,6524.94047237971,6157.39069019138,6425.39211704638,11047.4565968734,6817.03952842525,11033.174036249,6443.24904038362
,37,5389.47430211459,6264.4177959269,6385.15657717105,5686.51266530386,6640.86500156547,6493.87243877756,6527.78370681152,6172.01805881191,6433.81046823949,11035.6148371612,6811.85070513627,11080.1122970244,6443.63533119333
,38,5387.99479240215,6257.23956306462,6378.05110476637,5688.39745618695,6638.99913687849,6496.13224355146,6520.03212589419,6164.95362368027,6427.51714201853,11046.2458856357,6807.26661588946,11105.0855144988,6439.85314733454
,39,5379.32639588629,6274.71162953039,6378.22838321955,5688.01262622279,6633.76977013839,6500.10163600614,6521.97042981511,6165.45370159701,6422.06801665071,11060.7687444666,6807.54790840628,11139.3312921678,6437.43576522347
