,Cycle,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,G1,H1
,1,2344.71481913797,2242.9590994512,2307.23203415731,2209.80033308628,2272.14385345504,2234.3754173742,2229.13266008575,2207.78904280513,2233.46749980811,2242.45481141813,2246.01688255717,2222.70184872634,2217.68794453443
,2,2338.99658883641,2237.30477777966,2305.31892333361,2208.02257227506,2271.06164277505,2229.95554343583,2226.22494363656,2208.0310078567,2229.94888267307,2236.57066665504,2247.63460784249,2219.92368747561,2213.81382052831
,3,2336.17994624273,2242.06059939561,2301.46706185793,2210.61529052901,2266.46057499621,2230.61539875901,2228.74519026126,2209.72882555499,2229.41334190231,2236.32130819578,2245.20154464022,2218.40391360885,2211.93553514018
,4,2335.9741685653,2240.41469500426,2303.07657288381,2211.74153776782,2269.51133924759,2228.12884621066,2223.98473345443,2206.18120946763,2225.6104907017,2235.7672244881,2241.35773056213,2222.61011581235,2212.63917861352
,5,2338.02447229772,2240.14322410529,2301.4875772756,2212.27034159837,2268.6581161005,2227.53382473724,2224.98827863174,2205.96300720293,2225.52232751487,2242.08561503319,2240.70507347032,2218.29694201427,2209.57355188158
,6,2332.28652239744,2237.69503059179,2302.19304604843,2211.92320737724,2266.59727596627,2225.12837397871,2223.82953535516,2207.74019822096,2225.741896497,2236.33250347329,2238.53803461549,2217.63961482648,2211.587990321
,7,2332.76477831229,2240.95184437213,2303.97384909111,2212.40528581888,2265.30051651528,2225.64661553496,2222.05200540336,2207.48878331565,2225.58186733619,2234.92076734911,2240.32408727337,2222.18385712164,2208.07259574794
,8,2334.64040564258,2239.31616844012,2301.36591232045,2209.13073567827,2266.09711733431,2225.01099251497,2226.14813199309,2207.95836176066,2224.02904089329,2234.84823797944,2241.12234235359,2218.46233954833,2207.27911097589
,9,2333.4804241593,2242.46588584421,2302.66927957039,2210.44963167351,2265.36734591013,2223.95561123185,2223.74736961067,2203.86996679517,2226.02450702687,2236.20096101055,2241.56263595936,2220.43601642676,2209.12497553445
,10,2337.29739937257,2242.82738780777,2304.85169474276,2212.25658977247,2267.32177853155,2224.39874164988,2226.46147650028,2209.29798565775,2226.8162424207,2237.63772135692,2241.6556542157,2215.81244056384,2210.17461823252
,11,2336.17593391681,2240.89712689167,2306.98970592571,2210.52468383568,2267.32769315431,2226.0774695646,2221.84488565489,2207.60575378236,2225.5641732191,2239.14990545121,2239.13396447837,2217.84905489163,2209.57486114289
,12,2335.09017744544,2239.42572446528,2302.10403145562,2210.71755947369,2264.82004141373,2222.05324984173,2226.62932019689,2204.91014161144,2224.29581276665,2232.99332213616,2242.38015670518,2219.31133125381,2210.30634645668
,13,2333.53665689368,2236.92588362832,2304.91399970715,2210.53233134588,2269.33335288531,2223.47673068035,2225.27824153481,2210.24672858819,2224.58911350291,2234.69995123317,2240.84247041537,2223.23288037147,2204.52545827319
,14,2334.79305254111,2239.48795924044,2304.0074468256,2210.74250567576,2265.32957294942,2226.32270368237,2223.36180228846,2205.77673529555,2227.04626856256,2233.77685507985,2242.43272313923,2221.44634360353,2206.59931754215
,15,2334.83344440089,2242.32349460375,2300.02651133225,2208.75020359382,2268.81066692128,2226.72339962736,2226.48108529828,2205.21764006426,2224.64225369494,2234.84763548809,2239.88760141256,2221.08646579997,2207.96914263121
,16,2333.05042206271,2241.87116838557,2298.40927027142,2212.8865112744,2265.421914876,2222.2867761508,2220.00997077435,2204.95885011452,2224.14079649985,2235.15780891543,2239.54161858289,2220.56493082113,2209.78419192927
,17,2332.01598129299,2238.05567447487,2299.44863710357,2211.68694428194,2268.18663640418,2226.0240166486,2226.1353573666,2210.43057575225,2224.945064381,2231.79336760598,2238.85976078469,2221.33444406532,2208.02893742212
,18,2336.45648540402,2240.49525749564,2302.51985873255,2213.0422994791,2267.90372622238,2224.57606096062,2224.40220397309,2209.30003273679,2227.6074009789,2236.4441243513,2241.67349526728,2223.31710313093,2207.9584376057
,19,2334.44883968936,2240.75775738552,2303.4829366959,2213.21974043074,2269.67205541873,2229.5346909348,2226.73842329684,2208.95244612403,2223.44623255956,2231.98567370934,2239.08651685956,2221.19778846542,2205.97612184185
,20,2331.03290111661,2239.02621075097,2306.67892419051,2216.88151798765,2269.03487211782,2224.26400975579,2229.49862026732,2204.57128522702,2226.23837016702,2234.84821925921,2241.58518239488,2221.42778378766,2208.47387664164
,21,2335.98179887969,2241.34347890997,2306.7960568761,2214.72749004021,2273.49395889402,2223.35733398551,2222.79460722993,2206.09529807644,2227.07276513476,2238.20134672323,2242.42374879347,2223.93186822514,2204.48170905786
,22,2335.472838787,2243.26807274917,2314.01958171263,2218.1092559648,2278.2838915105,2225.11373600732,2223.41977735366,2206.29990655452,2230.15591181077,2244.78085183934,2240.07147537638,2229.86688565371,2209.10719933024
,23,2338.83709828902,2239.60881994931,2326.60616880816,2226.31503267541,2291.48384875411,2228.46910345154,2232.18527114812,2204.39588874923,2233.11393394725,2251.44591090851,2244.63642841466,2225.76335600818,2208.809551689
,24,2337.55078642221,2243.40181667009,2344.98663557336,2238.43397186181,2314.15268935965,2223.554774816,2233.86950756124,2204.19787221514,2241.58014918869,2266.4156576802,2246.97078095899,2237.87810290459,2208.58208083584
,25,2341.89677057191,2241.74303069601,2389.35916415373,2262.5189829106,2358.99642790145,2228.84516757508,2245.15081897476,2206.96816752765,2255.92789394176,2284.75911068007,2253.71887745236,2244.2720770162,2206.44283808778
,26,2349.65078030028,2245.61927903569,2473.80862021645,2301.9647526427,2439.75810859514,2233.00471835376,2264.57613509516,2209.93633498226,2281.77908282048,2307.89819084531,2267.5890523003,2256.97147544891,2214.18087729381
,27,2361.78721637022,2249.02971663308,2614.22014687872,2383.37735351347,2589.69904531707,2240.11005919351,2300.48522819283,2206.01020851952,2330.85793396506,2335.85624741775,2290.93329043002,2272.44704273845,2221.84442533272
,28,2380.9462944918,2255.6430003497,2834.71099645265,2520.69511296079,2840.99008310885,2256.58783653652,2368.36706859134,2206.77297003712,2417.45718285062,2361.39222565749,2343.2613269375,2285.2320955032,2230.82830877918
,29,2416.71409534758,2265.82209832698,3114.38034589088,2726.45676145417,3156.40352233295,2281.10678733283,2481.68655639686,2206.47658980339,2578.07366153399,2381.74115685069,2428.50509001707,2293.93717381193,2250.83257119803
,30,2473.44683971398,2275.40311072396,3431.09138943038,2977.43718088063,3481.11772152313,2328.866290593,2681.56734633044,2206.58766394609,2829.15875918931,2399.65069592095,2578.52510650829,2301.87746705754,2290.11177546104
,31,2573.79658783404,2301.87276278686,3760.10618435979,3233.17051265898,3790.71300790885,2412.48777207967,2972.45759060937,2209.44635795087,3170.54815656756,2411.78486850847,2825.46421914909,2307.54236643636,2358.88015400374
,32,2699.58582058391,2317.5493746161,4034.33903202444,3429.80880027558,4030.89690950225,2528.26498499497,3348.80419639077,2206.53252482722,3495.79543551494,2423.88452935273,3175.41469311674,2310.36456187475,2468.48081295847
,33,2866.74985894559,2335.47006565929,4251.83261245744,3541.01249535637,4240.02493111843,2668.66083891778,3772.97028507617,2208.33177425789,3797.30231554797,2432.56114927486,3547.35560206755,2314.06525853284,2600.06583620909
,34,3031.91370722367,2340.56616660385,4390.11130057077,3619.08595882464,4427.41817931838,2799.60111096951,4159.2515690778,2207.14126716559,4010.18819530945,2447.45115992651,3871.650506778,2319.60907899268,2722.56163496659
,35,3180.5659111116,2349.10955644478,4470.69449613891,3692.06778018369,4588.45927515426,2898.82032075731,4480.7008941623,2205.13694314982,4132.27806920969,2469.9962789131,4150.86211746721,2323.72064175615,2808.06775865776
,36,3277.5136870591,2361.02440402773,4507.3998471363,3764.13391382374,4711.46425165139,2985.19536546895,4705.76180502078,2206.74851061408,4215.89679290086,2494.2366283868,4357.68983330494,2327.15462367553,2867.67234670467
,37,3339.95351788258,2369.22936048702,4522.65542751474,3820.87671299247,4796.75725435418,3080.9704996034,4868.31827544821,2209.1624911582,4295.22526976611,2523.58124742422,4514.95099910696,2328.42191983262,2917.64189501586
,38,3369.26007894207,2382.05580402389,4535.19814463967,3868.0014149397,4849.38972115997,3182.19227141604,4965.0226400236,2209.72348458199,4376.49319535976,2562.85968418223,4655.96013808686,2333.05918315924,2977.81973047546
,39,3386.55361963104,2397.88865425692,4536.06970099416,3899.14797306934,4878.21736339827,3284.43829098669,5004.49319348478,2211.55850899638,4447.56157580323,2614.82276982021,4781.08765753772,2334.6629868842,3043.13272948694
,40,3393.6654136349,2421.12431912079,4541.15533965516,3918.50830192941,4888.69701141751,3392.72743110806,5024.10493626542,2205.79413868014,4509.23860646941,2676.87385346195,4876.57343061591,2342.03459249155,3117.83925270671
,41,3400.53476614534,2447.52459301771,4542.56095842789,3928.57552628105,4901.70268733063,3495.59026683514,5040.03273850241,2206.85546267669,4548.17439984264,2752.33551544206,4947.4708439924,2342.63891970866,3183.36973829947
,42,3405.24337775575,2482.00318093727,4550.7569203611,3942.24103337192,4904.18709015421,3593.63123436851,5048.48398203067,2210.65856798604,4578.59420971552,2842.52536724838,4993.02191553346,2343.80214112316,3239.78478589561
,43,3406.27175370873,2516.9621483891,4551.8159936031,3949.42914424761,4914.63667904492,3676.32718030006,5055.95875424174,2206.79323407294,4595.66586226454,2944.01108081239,5024.61535549509,2346.6066237547,3300.87667684439
,44,3411.63992180706,2558.28647150698,4559.15744024266,3950.60169016729,4921.32000405642,3758.69875001555,5059.84464147789,2207.0395325035,4606.85322980293,3058.66533988122,5040.60981430558,2348.49478051316,3347.96832571178
,45,3412.81347900921,2601.18929923635,4558.07367724194,3948.84234974335,4919.79614033079,3814.60194052194,5061.08417776328,2208.86006555353,4612.69447644202,3184.26789454292,5046.49472551656,2349.85264197246,3377.73873372472
