,Cycle,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,G1,H1
,1,2567.64356033095,2458.36605020014,2554.46231081273,2404.51293245468,2508.67385261675,2472.8602240627,2466.58766326315,2434.61476966017,2460.90700557111,2477.37506679128,2499.29925839994,2452.39485973874,2462.13701979559
,2,2564.58337398833,2454.35963501306,2555.17540891158,2399.67375777842,2502.11511148421,2469.15740132177,2465.69729928825,2431.32440916807,2457.40157164987,2474.83390283506,2495.30785145349,2447.10963319632,2457.05514960707
,3,2563.28769318244,2453.33743200344,2549.60664560894,2398.65533572499,2504.53064114663,2468.96649728053,2462.01968284146,2434.35799038465,2454.54236249903,2475.29294377638,2492.47262680958,2448.77788974644,2454.47618503786
,4,2565.17637053823,2453.97478562468,2553.36424624291,2398.82157506822,2502.4960654645,2469.43315103188,2460.68589194231,2432.87123729278,2456.22914039138,2472.98842106575,2492.35403779163,2449.77052921361,2453.32781702193
,5,2563.62412950432,2448.83443220186,2550.78470388997,2397.42421326514,2503.28658465486,2466.66839679751,2462.76408732389,2433.49399638347,2456.75172852361,2469.31234847647,2493.77268596236,2451.23980461757,2451.8402753609
,6,2563.48544969334,2453.20770702737,2551.47518347997,2399.53614339513,2501.91642042879,2468.07136749182,2463.35559323558,2436.55178313018,2456.05115528651,2469.65697327467,2492.53506680707,2451.94360039914,2452.30757007778
,7,2563.79391699209,2449.6870196476,2550.05170273774,2401.08757112071,2503.25697131403,2467.57876489461,2462.72694573936,2427.87978480715,2457.466962398,2474.03847679127,2490.3289806732,2452.09933414564,2449.49648271108
,8,2565.47107163941,2454.45912045828,2551.58342571839,2397.71952771427,2498.97942531738,2466.34603298966,2466.41871120161,2434.07124887131,2454.7934889535,2471.62339752818,2491.26598626749,2451.82261193162,2448.06471770874
,9,2563.93849837225,2448.86402960372,2552.03437362765,2402.04921131798,2502.36196528697,2464.30060385932,2462.41472911608,2433.9638731413,2457.59325287775,2468.82569141068,2487.98364892512,2451.00124381078,2452.4096208831
,10,2561.69109396957,2449.48521624646,2553.9057033331,2402.31377514233,2500.94886577691,2465.87555683755,2465.16389677747,2430.17512736431,2453.36520301525,2470.7731240542,2491.2209226587,2451.37616214954,2450.08460920001
,11,2566.60651540577,2447.57209260729,2550.12167040839,2402.15534688196,2504.42377259823,2462.65056629957,2462.33476739776,2429.22285060828,2456.36140733898,2471.43688042974,2491.5954542919,2453.85367475181,2450.01740261745
,12,2562.74166163532,2453.20649989774,2554.40290756267,2400.61231017713,2504.92284377932,2468.79572656406,2465.25603636837,2429.44874112302,2454.79188654162,2471.63797928783,2492.89476682988,2453.44968971863,2452.55575469228
